Keyword,Assigned Category
Bruschetta,Other sauces
Salted Caramel Dip Mix,Dips
Chipotle Corn Salsa,Dips
Eggplant Dip,Dips
Chipotle Creamy Salsa,Dips
Herb Mix,Seasonings
Chamoy Paste,Mustard and other condiments
Feta Spread,Dips
Spinach Parmesan Dip Mix,Dips
Bread Dipping Oil Mixes,Dips
Black Bean Salsa,Dips
Guacamole & Habanero Sauce,Dips
Queso Blanco Sauce Mix,Cheese
Queso Salsa,Dips
Bean and Salsa Mix,"Bean, pea, legume dishes"
Spreadable Cheese,Cheese
Mango Pineapple Salsa,Dips
Spicy Garlic Dip Mix,Dips
Almond Dip,Dips
Caviar Spread,Dips
Salsa and Dip Variety Pack,Dips
Cheese Sauce Mix,Other sauces
Pimiento Cheese Spread,Cheese
Cream Cheese Dip,Cream cheese
Salsa Mixes,Other sauces
Crab Dip Mix,Dips
Variety Dips,Dips
Teriyaki Stir-Fry,Stir-fry
Cherry Jalapeno Salsa,Tomato-based condiments
Variety Dip Mix,Dips
Roasted Green Chile,Other vegetables and combinations
Roasted Garlic Salsa,Dips
Cajun Dip,Dips
Pineapple Sauce,Other sauces
Jalapenos Salsa,Soy-based condiments
Bacon and Corn Salsa,Dips
Cranberry Salsa,Dips
Raspberry Mustard Dip,Dips
Spinach and Artichoke Jack,Cheese
Aioli,Dips
Dip Mix Variety Pack,Dips
Pico De Gallo,Other vegetables and combinations
Jalapeno Nacho Cheese,Nachos
Cheese Spray,Cheese
Indian Simmer Sauce,Gravies
Cowboy Caviar Salsa,Dips
Pineapple Chipotle Salsa,Dips
Jalapeno Popper Dip Mix,Dips
Tomato Salsa,Dips
Ketchup Flavored Candy,Candy not containing chocolate
Ketchup with Veggies,Tomato-based condiments
Sweet Ketchili Sauce,Tomato-based condiments
Gourmet Ketchup,Tomato-based condiments
Picnic Pack,Mustard and other condiments
Country Ketchup,Tomato-based condiments
Ketchup Variety Pack,Tomato-based condiments
Ketchup and Mustard Packets,Mustard and other condiments
Hot Ketchup,Tomato-based condiments
Mayochup Sauce,Mustard and other condiments
Ketchup Potato Chips,Potato chips
Sugar Free Ketchup,Tomato-based condiments
Ketchup Flavour Chips,Potato chips
"Ketchup, Relish, and Mustard Pack",Mustard and other condiments
Garlic Ketchup,Tomato-based condiments
Mild Ketchup,Tomato-based condiments
Truffle Ketchup,Tomato-based condiments
"Ketchup, No Sugar Added",Tomato-based condiments
"Ketchup, Mayonnaise, Mustard Variety Pack",Mustard and other condiments
Tomato-Free Ketchup,Mustard and other condiments
Chicken & Dumplings Mix,Poultry mixed dishes
Beef Tips and Gravy,Meat mixed dishes
Mushroom Sauce Mix,Gravies
Gravy Seasoning,Gravies
Seasoning Envelope,Seasonings
Chicken Base,Gravies
Poultry Gravy,Gravies
Gravy,Gravies
Stuffed Cabbage,Vegetable dishes
Sausage and Gravy,Gravies
Gravy Powder,Gravies
Sausage Flavored Gravy Mix,Gravies
Soup and Gravy Boost,Gravies
Mushroom Gravy Mix,Gravies
Vegan Chicken Curry,Vegetable dishes
Wide Noodles with Beef Gravy,"Pasta mixed dishes, excludes macaroni and cheese"
Poutine Gravy Mix,Gravies
Roast Beef Gravy,Gravies
Giblet Gravy,Gravies
Alu Muttar,Vegetable dishes
Canned Gravy,Gravies
Turkey Gravy Concentrate,Gravies
Beef & Gravy,Meat mixed dishes
Wide Noodles,Noodles
Chicken Flavored Gravy,Gravies
Roast Beef in Gravy,Meat mixed dishes
Chicken Chunks in Gravy,Gravies
Instant White Gravy,Gravies
Gravy Browning,Gravies
Roast Gravy Mix,Gravies
Chicken Chunk Gravy,Gravies
Sesame Style Sauce,Other sauces
Turkey Flavored Gravy,Gravies
Snacking Pecans,Nuts and seeds
Blanched Nuts,Nuts and seeds
Chili Roasted Nuts,Nuts and seeds
Glazed Walnuts,Nuts and seeds
Flavored Almonds,Nuts and seeds
Glazed Pecans,Nuts and seeds
Toffee Peanuts,Nuts and seeds
Cocoa Roast Almonds,Nuts and seeds
Peanut Seeds,Nuts and seeds
Walnut Pieces,Nuts and seeds
Seasoned Almonds,Nuts and seeds
Unsalted Nuts Mix,Nuts and seeds
Blanched Peanuts,Nuts and seeds
Butter Toffee Nuts,Nuts and seeds
Honey Roasted Macadamia Nuts,Nuts and seeds
Candied Nuts,Nuts and seeds
Flavored Sunflower Seeds,Nuts and seeds
Nut Blend,Nuts and seeds
Nut Gift Basket,Nuts and seeds
Tandoori Cashews,Nuts and seeds
Chestnuts,Nuts and seeds
Nut and Dried Fruit Mix,Nuts and seeds
Cajun Mix,Pretzels/snack mix
Honey Glazed Cashews,Nuts and seeds
Peanuts Mix,Nuts and seeds
Honey Glazed Almonds,Nuts and seeds
Tiger Nuts,Nuts and seeds
Honey Roasted Nuts,Nuts and seeds
Honey Roasted Pistachios,Nuts and seeds
Energy Mix,Nuts and seeds
Honey Roasted Mixed Nuts,Nuts and seeds
Cajun Peanuts,Nuts and seeds
Pepitas,Nuts and seeds
Sunflower & Pumpkin Seed Mix,Nuts and seeds
Flavored Cashews,Nuts and seeds
Glazed Nuts,Nuts and seeds
Peanut Pattie,Candy not containing chocolate
Honey Roasted Nut Mix,Nuts and seeds
Nut Mixes,Nuts and seeds
Cracker Nuts,Nuts and seeds
Glazed Cashews,Nuts and seeds
Cashew Crunch,Nuts and seeds
Spicy Coated Peanuts,Nuts and seeds
Dark Chocolate Nut Medley,Nuts and seeds
Chili Roasted Pistachios,Nuts and seeds
Shredded Monterey Jack Cheese,Cheese
Cottage Cheese with Fruit,Cottage/ricotta cheese
Go-GURT,"Yogurt, regular"
Vanilla Almond Creamer,Cream and cream substitutes
Hard-Boiled Eggs,Eggs
Eggs,Eggs
Flavored Coffee Creamer,Cream and cream substitutes
Flavored Creamer,Cream and cream substitutes
Heavy Cream,Cream and cream substitutes
Butter Cooking Spray,Butter and animal fats
Low Fat Cottage Cheese,Cottage/ricotta cheese
Pizza Crust Dough,Pizza
Oat Creamer,Cream and cream substitutes
Protein Yogurt,"Yogurt, regular"
Low Fat Yogurt,"Yogurt, regular"
Colby Cheese,Cheese
Fat Free Feta Cheese,Cheese
Blueberry Kefir,"Yogurt, regular"
Goat Cheese,Cheese
Yogurt Pouches,"Yogurt, regular"
Lemon Yogurt,"Yogurt, regular"
Sweet & Salty Mix,Pretzels/snack mix
White Cheddar Snack Mix,Pretzels/snack mix
Arare,"Crackers, excludes saltines"
Doritos Mix,"Tortilla, corn, other chips"
Cracker Mix,"Crackers, excludes saltines"
Party Snack Mix,Pretzels/snack mix
Bombay Mix,Pretzels/snack mix
Fiesta Snack Mix,Pretzels/snack mix
Fruit and Nut Snack Mix,Nuts and seeds
Snack & Cracker Mix,Pretzels/snack mix
Popcorn Snack Mix,Popcorn
Cajun Style Snack Mix,Pretzels/snack mix
Roasted Corn Snack Mix,Other Mexican mixed dishes
Peanut Butter Snack Mix,Nuts and seeds
Bagel Mix,Bagels and English muffins
Cajun Hot Snacks,Pretzels/snack mix
Kaju Mix,Nuts and seeds
BBQ Snack Mix,Pretzels/snack mix
Kerala Mixture,Pretzels/snack mix
Sweet and Salty Snack Mix,Pretzels/snack mix
Sweet and Salty Mix,Pretzels/snack mix
Mix Namkeen,Pretzels/snack mix
Punjabi Mix,Pretzels/snack mix
Navrattan Mix,Pretzels/snack mix
Kenya Chevda,Pretzels/snack mix
Bombay Snacks Mix,Pretzels/snack mix
Navratan Mix,Pretzels/snack mix
Spicy Rings Mix,Pretzels/snack mix
Oriental Snack Mix,Pretzels/snack mix
Chili Crunchy Snack Mix,Pretzels/snack mix
Ranch Snack Mix,Pretzels/snack mix
Namkeen Mix,Pretzels/snack mix
Protein Power Snack Mix,Nutrition bars
Banana Chip Snack Mix,Pretzels/snack mix
Nylon Sev,"Crackers, excludes saltines"
S'Mores Snack Mix,Candy containing chocolate
Spicy Party Mix,Pretzels/snack mix
Honey Mustard Snack Mix,Pretzels/snack mix
- Popcorn Party Mix,Pretzels/snack mix
Cantina Mix,Nuts and seeds
Fruit Snack Mix,Dried fruits
Cheese Flavored Snack Mix,Pretzels/snack mix
Pizza Snack Mix,Pretzels/snack mix
Peanut Butter Smores Snack Mix,Pretzels/snack mix
Beef Tender Bites,Cured meats
Beef Meat Snack,Cured meats
Turkey Meat Sticks,Cured meats
Takis Fuego,"Tortilla, corn, other chips"
Pork Steak Bites,Cold cuts
Vegan Jerky,Processed soy products
Beef Snack Bites,Cured meats
Pickled Pork Hocks,Pickles
Chicken Tender Bites,"Chicken patties, nuggets and tenders"
Flamin' Hot Beef Jerky,Cured meats
Salami,Cured meats
Teriyaki Sausages,Sausages
Freeze-Dried Beef Chunks,"Beef, excludes ground"
Meat Snack Stick,Cured meats
Salmon Protein Bites,Fish
Turkey Stick,Cured meats
Venison Jerky,Game
Beef Crisps,Cured meats
Korean BBQ Pork,Pork
Wild Game Sticks,Game
Beef Protein Snack,Cured meats
Beef Stix,Cured meats
Plant-Based Jerky,Processed soy products
Creme Brulee,Pudding
Beef Steak Stick,Cured meats
Teriyaki Beef Snack,Cured meats
Beef Floss,Cured meats
Game Sausage,Sausages
Sausage Meat Sticks,Sausages
Beef Steak Strips,"Beef, excludes ground"
Dried Fish,Fish
Beef Fajita Strips,Meat mixed dishes
Sausage Stix,Sausages
Chicken Strip Bar,"Chicken patties, nuggets and tenders"
Lamb Jerky,Lamb
Meat and Cheese Snack Pack,Cured meats
Sausage Making Kit,Sausages
Cherry Rub,Seasonings
Garlic Snack Sticks,Sausages
Dehydrated Fruit Jerky,Dried fruits
Chicken Bites,"Chicken patties, nuggets and tenders"
Snack Stick Casings,Sausages
Elk Jerky,Game
Plum Jerky,Dried fruits
Chicken Snack Stick,Cured meats
Sausage Kit,Sausages
Jalapeno Beef Jerky,Cured meats
Elk Snack Stick,Sausages
Beef Brisket,"Beef, excludes ground"
Beef Deli Sticks,Cold cuts
Peppered Sea Salt Seasoning,Seasonings
Jerky Gift Box,Cured meats
Chicken Meat Bars,Cold cuts
Meat and Cheese Snack Sticks,Cured meats
Tuna Jerky,Fish
Meat and Collagen Sticks,Cured meats
Cuttlefish Jerky,Shellfish
Beef Steak Snack,Cured meats
Beef Snack,Cured meats
Microwave Mac and Cheese,Macaroni and cheese
White Cheddar Mac and Cheese,Macaroni and cheese
White Cheddar Mac & Cheese,Macaroni and cheese
Riced Cauliflower,Other vegetables and combinations
Rolled Oats,Oatmeal
Fuji Apples,Apples
Cinnamon Raisin Bread,Yeast breads
Chicken and Wild Rice Soup,Soups
Vegan Chili,"Bean, pea, legume dishes"
Chunky Vegetable Soup,Soups
Quinoa Cups,Cooked Grains
Toddler Snack,Baby food: snacks and sweets
Tomato Bisque Soup,Soups
Veggie Snacks,Baby food: snacks and sweets
Seed Flour Crackers,"Crackers, excludes saltines"
Sprouted Whole Grain Cereal,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)"
Vanilla Extract,Spices
Gluten-Free Macaroni and Cheese,Macaroni and cheese
Keto Granola,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)"
Beef Base,Gravies
Vegan Mac,"Pasta mixed dishes, excludes macaroni and cheese"
Instant Hot Cereal,Other cooked cereals
Erythritol,Sugar substitutes
Sunflower Oil,Vegetable oils
Oatmeal Baby Cereal,Baby food: cereals
Chickpea Flour,Baking Products
Baby Food Variety Pack,Baby food: mixtures
Moringa Powder,Other vegetables and combinations
Vegan Fish Sauce,Soy-based condiments
Cassava Flour,Baking Products
Hot Cereal,Other cooked cereals
Date Sugar,Sugars and honey
Buckwheat Flour,Baking Products
Turmeric Root Powder,Spices
Spelt Flakes Cereal,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)"
Crunchy Chickpeas,"Beans, peas, legumes"
Maple-Based Syrup,Syrups
Almond Butter,Nuts and seeds
Minced Ginger,Spices
All-Purpose Baking Flour,Baking Products
Buckwheat Hot Cereal,Other cooked cereals
Grits,Grits
Flakes Cereal,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)"
Honey Crunch Oat Cereal,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)"
English Breakfast Tea,Tea
Seaweed Snack,Other vegetables and combinations
Gourmet Roast Coffee,Coffee
Oatmeal,Oatmeal
Brown Rice Flour,Baking Products
Diced Tomatoes & Green Chilies,Tomato-based condiments
Hemp Oil,Vegetable oils
Crunchy Vanilla Cereal,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)"
Oat Bran Hot Cereal,Other cooked cereals
Peanut Butter Cereal,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)"
Butter and Parmesan Spirals Macaroni & Cheese,Macaroni and cheese
Puffed Cereal,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)"
Dates,Dried fruits
Purely O's Cereal,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)"
Espresso Roast Coffee,Coffee
Coffee KCups,Coffee
Portion Pack Coffee,Coffee
Espresso Whole Bean Coffee,Coffee
Nespresso Vertuo,Coffee
Vanilla Iced Coffee,Coffee
Espresso Coffee Beverage,Coffee
Cinnamon Dolce K-Cup,Coffee
"Starbucks True North appears to be a type of coffee blend. Therefore, it would be categorized as",Coffee
Caramel Flavored Coffee Pods,Coffee
Espresso Roast,Coffee
Hot Cocoa Variety Pack,Candy containing chocolate
Blonde Roast Coffee Pods,Coffee
Flavored Coffee Capsules,Coffee
Espresso & Cream Coffee Drink,Coffee
Mocha Coffee Pods,Coffee
Caramel Coffee K-Cup,Coffee
Vanilla Frappuccino,Coffee
Mocha Oat Milk Latte,Coffee
Coffee & Chicory,Coffee
Vanilla Chai Latte,Grain drinks
Coffee + Energy Drink,Sport and energy drinks
Iced Espresso with Cream,Coffee
Iced Coffee Latte,Coffee
Flavored Iced Latte,Coffee
Coffee Sample Pack,Coffee
Pumpkin Spice Oatmilk Latte,Coffee
Instant Cold Brew Coffee,Coffee
Decaf Cold Brew Coffee,Coffee
Dairy-Free Latte,Coffee
Iced Coffee Packets,Coffee
Decaf Cold Brew,Coffee
Chaga Coffee,Coffee
Drinking Chocolate,Candy containing chocolate
Flavored Coffee Concentrate,Coffee
Whole Coffee Beans,Coffee
Milk Coffee Drink,Other dairy drinks
Sparkling Cold Latte,Coffee
High Protein Coffee,Coffee
Medical Food,Nutritional beverages
Cold-brew Coffee,Coffee
Oat Latte,Milk substitutes
Iced Latte Beverage,Coffee
Mocha Coffee,Coffee
Coffee Concentrate Pods,Coffee
Dark Chocolate Mocha,Coffee
Mocha Cold Brew Coffee,Coffee
Vanilla Coffee,Coffee
Ready-to-Drink Coffee,Coffee
Cold-Pressed Espresso,Coffee
Cold Coco Latte,Coffee
Coffee Frappe,Milk shakes
Collagen Coffee,Coffee
Macchiato,Coffee
Coffee with Milk,Coffee
Vanilla Frappe,Smoothies
Butter Chickpeas & Veggie,"Bean, pea, legume dishes"
Jalfrezi Curry Simmer Sauce,Gravies
Curry Paste,Other sauces
Tagliatelle Pasta,Pasta
Mango Curry Simmer Sauce,Other sauces
Cheddar & Green Onion Potato Chips,Potato chips
Lemon Barley Water,Other diet drinks
Tikka Masala Chicken,Poultry mixed dishes
Juice Monster,Sport and energy drinks
Performance Energy Drink,Sport and energy drinks
Strawberry Energy Drink,Sport and energy drinks
BCAA Powder,Protein and nutritional powders
Liquid Vitamin Supplement,Nutritional beverages
Sparkling Grape Drink,Sport and energy drinks
Bing Cherry Beverage,Sport and energy drinks
Energy Drinks Variety Pack,Sport and energy drinks
Raspberry Acai Green Tea,Tea
Multivitamin Drink,Nutritional beverages
Citrus Energy Drink,Sport and energy drinks
Vanilla Corn Drink,Other dairy drinks
Fitness Drink,Sport and energy drinks
Ginger Drink,Other diet drinks
Meal Replacement,Nutritional beverages
Strawberry Soft Drink,Fruit drinks
Gummy Bear Flavored,Sport and energy drinks
Fruit Punch Energy Drink,Sport and energy drinks
Plant Based Energy Drink,Sport and energy drinks
Low Calorie Energy Drink,Diet sport and energy drinks
Weight Gain Powder,Protein and nutritional powders
Berry Lemonade Energy Drink,Sport and energy drinks
Stress Reducing Beverage,Nutritional beverages
Turmeric Wellness Drink,Other diet drinks
Flavor Cartridge,Flavored or carbonated water
Sport Energy Drink,Sport and energy drinks
Juice + Energy Drink,Sport and energy drinks
Nutritional Beverage,Nutritional beverages
Energy Shots,Sport and energy drinks
Nootropic Beverage,Nutritional beverages
Sports Energy Drink,Sport and energy drinks
Kiwi Strongberry Energy Drink,Sport and energy drinks
Wellness Drink,Nutritional beverages
Caffeine Gummies,Nutrition bars
Fitness & Wellness Energy Drink,Sport and energy drinks
Raspberry Lime Energy Drink,Diet sport and energy drinks
Blueberry Lemonade Energy Drink,Sport and energy drinks
Berry Plant Based Energy Drink,Sport and energy drinks
Ginger Shots,Nutritional beverages
Performance Punch,Sport and energy drinks
Sparkling Mushroom Drink,Grain drinks
Mango Pineapple Energy Drink,Sport and energy drinks
Wild Berry Energy Drink,Sport and energy drinks
Caffeinated Dark Chocolate,Candy containing chocolate
Calm Spritz,Other diet drinks
Appetite Control Beverage,Nutritional beverages
Energy Supplement,Sport and energy drinks
Energy Drink Powder,Sport and energy drinks
Mango Ginger Energy Drink,Diet sport and energy drinks
Amino Energy Drink,Sport and energy drinks
Herbal Cleanse,Nutritional beverages
Candy Drinks,Candy not containing chocolate
Energy Water,Sport and energy drinks
Energy Shake,Nutritional beverages
Mango Lemonade Energy Drink,Sport and energy drinks
Vitality Blend,Nutritional beverages
Sparkling Hydration Drink,Sport and energy drinks
Zero Sugar Beverage,Other diet drinks
Boost Shot,Nutritional beverages
Liquid Enhancer,Other diet drinks
Cocktail Mix,Other diet drinks
Sugar-Free Cocktail Mixers,Other diet drinks
Cranberry Cordial,Other fruit juice
Blueberry Muffin Coffee Pods,Coffee
Pumpkin Spice Coffee K-Cups,Coffee
Broccoli Macaroni and Cheese,Macaroni and cheese
Vermicelli,Noodles
Breakfast Noodles,"Pasta mixed dishes, excludes macaroni and cheese"
Tuna Pasta Skillet Dinner,Seafood mixed dishes
Spaghetti Rings and Meatballs,"Pasta mixed dishes, excludes macaroni and cheese"
Philly Cheese Steak Pasta,"Pasta mixed dishes, excludes macaroni and cheese"
Three Cheese Ziti Marinara,"Pasta mixed dishes, excludes macaroni and cheese"
Chicken and Sausage Soup,Soups
Dumpling Pasta,Pasta
Wide Egg Noodles,Noodles
Large Shell Pasta,Pasta
Macaroni & Cheese,Macaroni and cheese
Dairy-Free Mac and Cheese,Macaroni and cheese
Sea Shell Pasta,Pasta
Large Shells,Pasta
Gluten-Free Lasagna,"Pasta mixed dishes, excludes macaroni and cheese"
Cauliflower Gnocchi,Pasta
Canned Spaghetti,"Pasta mixed dishes, excludes macaroni and cheese"
Danzai Noodles,"Pasta mixed dishes, excludes macaroni and cheese"
Orecchiette Pasta,Pasta
Veggie Pasta,Pasta
Sweet Potato Noodles,Noodles
Buffalo Style Macaroni & Cheese,Macaroni and cheese
Spaghetti Meal Kit,"Pasta mixed dishes, excludes macaroni and cheese"
Whole Wheat Pasta,Pasta
Pasta Shell,Pasta
Spinach Pasta,Pasta
Cheesy Beef Pasta,"Pasta mixed dishes, excludes macaroni and cheese"
Kelp Noodles,Noodles
Campanelle Pasta,Pasta
Glass Noodles,Noodles
Egg Pappardelle,Pasta
Vermicelli Rice Sticks,Noodles
Brown Rice Spaghetti,Pasta
Mini Wheels Pasta,Pasta
Corkscrew Pasta,"Pasta mixed dishes, excludes macaroni and cheese"
Pizza Crust with Sauce,Pizza
Fettuccine Alfredo Meal,"Pasta mixed dishes, excludes macaroni and cheese"
Miso Ramen Noodles,Lo/chow mein
Egg Fettuccine Noodles,Pasta
Alfredo Pasta,"Pasta mixed dishes, excludes macaroni and cheese"
Pad Thai Noodles,"Pasta mixed dishes, excludes macaroni and cheese"
Gemelli Pasta,Pasta
Bean Thread Noodles,Noodles
Couscous,Cooked Grains
Radiatore Pasta,Pasta
Vermicelli Noodles,Noodles
Instant Ramen,"Pasta mixed dishes, excludes macaroni and cheese"
Creamy Cheddar Pasta Mix,"Pasta mixed dishes, excludes macaroni and cheese"
Israeli Pearl Couscous,Cooked Grains
Black Bean Pasta,Pasta
Spaghetti Noodles,Pasta
Masala Noodles,"Pasta mixed dishes, excludes macaroni and cheese"
Pasta Rings,Pasta
Alligator Pasta,Pasta
Fine Noodles,Noodles
Paccheri Pasta,Pasta
Chili Spaghetti,"Pasta mixed dishes, excludes macaroni and cheese"
Achiote Paste,Spices
Rabokki,Stir-fry
Spinach Fettuccine,Pasta
Shellbows Pasta,Pasta
Whole Wheat Shells,Pasta
Udon Noodles with Soup,Soups
Salisbury,Meat mixed dishes
Flour Sticks,Noodles
Noodle Soup Mix,Soups
Bean Threads,Noodles
Cassava Couscous,Cooked Grains
Cheddar Rotini,"Pasta mixed dishes, excludes macaroni and cheese"
Cheesy Jalapeno Mac 'N Cheese,Macaroni and cheese
Gluten-Free Penne,Pasta
Spätzle,Noodles
Cheesy Hashbrowns Hamburger Helper,Meat mixed dishes
Yeast,Baking Products
Stir-Fry Noodles,Stir-fry
Pad Thai Rice Noodles,Noodles
Instant Mushroom Coffee,Coffee
Lemon Flavored Sports Beverage,Sport and energy drinks
Peanut Caramel Cluster Bars,Nutrition bars
Ground Ginger Powder,Spices
Cane Sugar Sweetened Soda,Soft drinks
Flavored Tortilla Chips,"Tortilla, corn, other chips"
Dark Chocolate & Sea Salted Caramel Candy,Candy containing chocolate
Chocolate Bars Variety Pack,Candy containing chocolate
Milk Chocolate Bark,Candy containing chocolate
French Roast Ground Coffee,Coffee
Instant Grits,Grits
Cappuccino Kit,Coffee
Salted Caramel Chocolate Bars,Candy containing chocolate
Milk Chocolate Caramel,Candy containing chocolate
Candy Necklace,Candy not containing chocolate
Lollipop Bouquet,Candy not containing chocolate
SweeTARTS,Candy not containing chocolate
Lemon Cookies,Cookies and brownies
Chocolate Chip Cookie,Cookies and brownies
Jalapeño Ranch Dressing,Salad dressings
Citrus Poppyseed Salad Dressing,Salad dressings
